r1084088.fit  7.08  2.34 0.048    87.7 from  28 sources of uvex_5553 U
r1084089.fit  6.43  2.12 0.044   105.3 from 222 sources of uvex_5553 g
r1084090.fit  5.95  1.96 0.056   150.7 from 368 sources of uvex_5553o r
r1084091.fit  6.89  2.27 0.068    78.6 from  37 sources of uvex_5553o U
r1084092.fit  5.58  1.84 0.049   103.2 from 257 sources of uvex_5553o g
r1084093.fit  6.13  2.02 0.102   153.0 from 467 sources of uvex_5565o r
r1084094.fit  6.27  2.07 0.084    87.0 from  85 sources of uvex_5565o U
r1084095.fit  5.07  1.67 0.064   105.2 from 383 sources of uvex_5565o g
r1084096.fit  5.20  1.72 0.104   148.2 from 540 sources of uvex_5568 r
r1084097.fit  5.93  1.96 0.063    86.1 from  71 sources of uvex_5568 U
r1084098.fit  4.93  1.63 0.061   102.2 from 383 sources of uvex_5568 g
r1084099.fit  4.49  1.48 0.080   154.3 from 760 sources of uvex_5568o r
r1084100.fit  5.28  1.74 0.048    87.5 from  73 sources of uvex_5568o U
r1084101.fit  4.55  1.50 0.063   107.3 from 417 sources of uvex_5568o g
r1084102.fit  5.08  1.68 0.066   130.5 from 276 sources of uvex_5588 r
r1084103.fit  5.71  1.88 0.041    87.4 from  34 sources of uvex_5588 U
r1084104.fit  5.54  1.83 0.039    91.6 from 148 sources of uvex_5588 g
r1084105.fit  7.71  2.54 0.121   155.7 from 108 sources of uvex_5596o r
r1084106.fit  5.99  1.98 0.039    89.4 from  47 sources of uvex_5596o U
r1084107.fit  4.81  1.59 0.042   106.5 from 214 sources of uvex_5596o g
r1084108.fit  4.46  1.47 0.063   145.9 from 338 sources of uvex_5597 r
r1084109.fit  5.77  1.90 0.044    88.4 from  60 sources of uvex_5597 U
r1084110.fit  5.54  1.83 0.049   105.3 from 154 sources of uvex_5597 g
r1084111.fit  4.38  1.45 0.054   156.9 from 364 sources of uvex_5597o r
r1084112.fit  5.00  1.65 0.061    87.8 from  61 sources of uvex_5597o U
r1084113.fit  4.78  1.58 0.038   105.7 from 168 sources of uvex_5597o g
r1084114.fit  5.02  1.66 0.093   121.5 from 515 sources of uvex_5606 r
r1084115.fit  6.20  2.05 0.060    87.2 from  63 sources of uvex_5606 U
r1084116.fit  4.99  1.65 0.052   106.5 from 321 sources of uvex_5606 g
r1084117.fit  4.22  1.39 0.056   154.2 from 430 sources of uvex_5610 r
