intphas_0075       0 14 14.93  63 22 59.6   J2000 !  118.78    0.81
intphas_0076       0 14 25.86  61 10 59.5   J2000 !  118.49   -1.37
intphas_0077       0 14 28.97  57 41 59.3   J2000 !  117.99   -4.82
intphas_0078       0 14 29.48  66  7 59.8   J2000 !  119.20    3.53
intphas_0079       0 14 51.11  64 17 59.7   J2000 !  118.98    1.71
intphas_0080       0 15  3.11  59 53 59.5   J2000 !  118.38   -2.65
intphas_0081       0 15 16.67  62  5 59.6   J2000 !  118.72   -0.48
intphas_0082       0 15 19.13  66 40 59.8   J2000 !  119.36    4.06
intphas_0083       0 15 19.16  65 12 59.7   J2000 !  119.16    2.61
intphas_0084       0 15 28.05  58 36 59.4   J2000 !  118.25   -3.93
intphas_0085       0 15 59.88  60 48 59.5   J2000 !  118.62   -1.76
intphas_0086       0 16  3.90  63  0 59.6   J2000 !  118.93    0.42
intphas_0087       0 16 22.29  67 13 59.8   J2000 !  119.54    4.59
intphas_0088       0 16 31.88  59 31 59.4   J2000 !  118.51   -3.04
intphas_0089       0 16 47.07  63 55 59.7   J2000 !  119.14    1.32
intphas_0090       0 16 56.33  61 43 59.6   J2000 !  118.86   -0.87
intphas_0091       0 16 56.46  58 14 59.4   J2000 !  118.39   -4.32
intphas_0092       0 17 12.58  65 45 59.8   J2000 !  119.43    3.13
intphas_0093       0 17 19.73  64 50 59.7   J2000 !  119.32    2.22
intphas_0094       0 17 33.71  60 26 59.5   J2000 !  118.76   -2.15
intphas_0095       0 17 49.71  62 38 59.6   J2000 !  119.08    0.03
intphas_0096       0 18  0.54  59  9 59.4   J2000 !  118.65   -3.43
intphas_0097       0 18 20.56  57 52 59.4   J2000 !  118.53   -4.71
intphas_0098       0 18 30.44  66 18 59.8   J2000 !  119.63    3.66
intphas_0099       0 18 35.68  61 21 59.5   J2000 !  119.01   -1.25
intphas_0100       0 18 36.79  63 33 59.6   J2000 !  119.29    0.93
intphas_0101       0 19  7.35  60  4 59.5   J2000 !  118.91   -2.54
intphas_0102       0 19 16.61  64 28 59.7   J2000 !  119.48    1.83
intphas_0103       0 19 26.67  66 51 59.8   J2000 !  119.79    4.19
intphas_0104       0 19 26.91  58 47 59.4   J2000 !  118.79   -3.81
intphas_0105       0 19 32.47  62 16 59.6   J2000 !  119.23   -0.36
intphas_0106       0 19 48.30  65 23 59.7   J2000 !  119.64    2.73
intphas_0107       0 20  9.83  60 59 59.5   J2000 !  119.15   -1.64
intphas_0108       0 20 23.23  63 11 59.6   J2000 !  119.44    0.54
intphas_0109       0 20 36.19  59 42 59.5   J2000 !  119.05   -2.92
intphas_0110       0 20 36.66  67 24 59.8   J2000 !  119.97    4.72
intphas_0111       0 20 53.22  58 25 59.4   J2000 !  118.93   -4.20
intphas_0112       0 21  9.70  61 54 59.6   J2000 !  119.38   -0.75
intphas_0113       0 21  9.97  64  6 59.7   J2000 !  119.64    1.44
intphas_0114       0 21 11.39  65 56 59.8   J2000 !  119.85    3.26
intphas_0115       0 21 41.34  60 37 59.5   J2000 !  119.29   -2.03
intphas_0116       0 21 49.20  65  1 59.7   J2000 !  119.81    2.34
intphas_0117       0 22  2.64  59 20 59.4   J2000 !  119.19   -3.31
intphas_0118       0 22  6.55  62 49 59.6   J2000 !  119.59    0.15
intphas_0119       0 22 17.34  58  3 59.4   J2000 !  119.07   -4.59
intphas_0120       0 22 35.71  66 29 59.8   J2000 !  120.06    3.79
intphas_0121       0 22 46.67  61 32 59.5   J2000 !  119.52   -1.13
intphas_0122       0 22 59.94  63 44 59.7   J2000 !  119.79    1.05
intphas_0123       0 23 12.70  60 15 59.5   J2000 !  119.44   -2.41
intphas_0124       0 23 29.03  58 58 59.4   J2000 !  119.33   -3.69
intphas_0125       0 23 38.65  67  2 59.8   J2000 !  120.22    4.32
